"cc_iso3c","cc_name_long","cc_name_short","un_m49","unicode_flag","cc_status","cc_ascii","cc_grep"
"SMR","San Marino","San Marino",674,"🇸🇲","UN member","San Marino","san marino"
"SOM","Somalia","Somalia",706,"🇸🇴","UN member","Somalia","somalia"
"SPM","St. Pierre and Miquelon","St. Pierre & Miquelon",666,"🇵🇲","Other ISO 3166-1 assigned or reserved entity","St. Pierre & Miquelon","st pierre miquelon"
"SRB","Serbia","Serbia",688,"🇷🇸","UN member","Serbia","serbia"
"SSD","South Sudan","South Sudan",728,"🇸🇸","UN member","South Sudan","south sudan"
"STP","São Tomé and Príncipe","São Tomé & Príncipe",678,"🇸🇹","UN member","Sao Tome & Principe","sao tome principe"
"SUR","Suriname","Suriname",740,"🇸🇷","UN member","Suriname","suriname"
"SVK","Slovakia","Slovakia",703,"🇸🇰","UN member","Slovakia","slovakia"
"SVN","Slovenia","Slovenia",705,"🇸🇮","UN member","Slovenia","slovenia"
"SWE","Sweden","Sweden",752,"🇸🇪","UN member","Sweden","sweden"
"SWZ","Eswatini","Eswatini",748,"🇸🇿","UN member","Eswatini","eswatini"
"SXM","Sint Maarten","Sint Maarten",534,"🇸🇽","Other ISO 3166-1 assigned or reserved entity","Sint Maarten","sint maarten"
"SYC","Seychelles","Seychelles",690,"🇸🇨","UN member","Seychelles","seychelles"
"SYR","Syrian Arab Republic","Syria",760,"🇸🇾","UN member","Syria","syria"
"TCA","Turks and Caicos Islands","Turks & Caicos",796,"🇹🇨","Other ISO 3166-1 assigned or reserved entity","Turks & Caicos","turks caicos"
"TCD","Chad","Chad",148,"🇹🇩","UN member","Chad","chad"
"TGO","Togo","Togo",768,"🇹🇬","UN member","Togo","togo"
"THA","Thailand","Thailand",764,"🇹🇭","UN member","Thailand","thailand"
"TJK","Tajikistan","Tajikistan",762,"🇹🇯","UN member","Tajikistan","tajikistan"
"TKL","Tokelau","Tokelau",772,"🇹🇰","Other ISO 3166-1 assigned or reserved entity","Tokelau","tokelau"
"TKM","Turkmenistan","Turkmenistan",795,"🇹🇲","UN member","Turkmenistan","turkmenistan"
"TLS","Timor-Leste","Timor-Leste",626,"🇹🇱","UN member","Timor-Leste","timorleste east timor"
"TON","Tonga","Tonga",776,"🇹🇴","UN member","Tonga","tonga"
"TTO","Trinidad and Tobago","Trinidad & Tobago",780,"🇹🇹","UN member","Trinidad & Tobago","trinidad tobago"
"TUN","Tunisia","Tunisia",788,"🇹🇳","UN member","Tunisia","tunisia"
"TUR","Türkiye","Türkiye",792,"🇹🇷","UN member","Turkiye","turkiye turkey"
"TUV","Tuvalu","Tuvalu",798,"🇹🇻","UN member","Tuvalu","tuvalu"
"TWN","Taiwan","Taiwan",,"🇹🇼","Other ISO 3166-1 assigned or reserved entity","Taiwan","taiwan"
"TZA","United Republic of Tanzania","Tanzania",834,"🇹🇿","UN member","Tanzania","tanzania"
"UGA","Uganda","Uganda",800,"🇺🇬","UN member","Uganda","uganda"
"UKR","Ukraine","Ukraine",804,"🇺🇦","UN member","Ukraine","ukraine"
"UMI","US Minor Outlying Islands","US Minor Outlying Islands",581,"🇺🇲","Other ISO 3166-1 assigned or reserved entity","US Minor Outlying Islands","us minor outlying islands"
"URY","Uruguay","Uruguay",858,"🇺🇾","UN member","Uruguay","uruguay"
"USA","United States of America","United States",840,"🇺🇸","UN member","United States","united states america usa us"
"UZB","Uzbekistan","Uzbekistan",860,"🇺🇿","UN member","Uzbekistan","uzbekistan"
"VAT","Vatican City","Vatican City",336,"🇻🇦","Other ISO 3166-1 assigned or reserved entity","Vatican City","vatican city"
"VCT","Saint Vincent and the Grenadines","St. Vincent & the Grenadines",670,"🇻🇨","UN member","St. Vincent & the Grenadines","st vincent the grenadines"
"VEN","Venezuela (Bolivarian Republic of)","Venezuela",862,"🇻🇪","UN member","Venezuela","venezuela"
"VGB","British Virgin Islands","British Virgin Islands",92,"🇻🇬","Other ISO 3166-1 assigned or reserved entity","British Virgin Islands","british virgin islands bvi"
"VIR","US Virgin Islands","US Virgin Islands",850,"🇻🇮","Other ISO 3166-1 assigned or reserved entity","US Virgin Islands","us virgin islands usvi"
"VNM","Viet Nam","Vietnam",704,"🇻🇳","UN member","Vietnam","vietnam"
"VUT","Vanuatu","Vanuatu",548,"🇻🇺","UN member","Vanuatu","vanuatu"
"WLF","Wallis and Futuna","Wallis & Futuna",876,"🇼🇫","Other ISO 3166-1 assigned or reserved entity","Wallis & Futuna","wallis futuna"
"WSM","Samoa","Samoa",882,"🇼🇸","UN member","Samoa","samoa"
"XKK","Kosovo","Kosovo",,"🇽🇰","User assigned code","Kosovo","kosovo"
"XNC","Northern Cyprus","Northern Cyprus",,,"User assigned code","Northern Cyprus","northern cyprus"
"XPG","Palestinian Territories (Gaza)","Gaza",,,"User assigned code","Gaza","gaza"
"XRS","Republic Srpska","Republic Srpska",,,"User assigned code","Republic Srpska","republic srpska"
"XSL","Somaliland","Somaliland",,,"User assigned code","Somaliland","somaliland"
"YEM","Yemen","Yemen",887,"🇾🇪","UN member","Yemen","yemen"
"ZAF","South Africa","South Africa",710,"🇿🇦","UN member","South Africa","south africa"
"ZMB","Zambia","Zambia",894,"🇿🇲","UN member","Zambia","zambia"
"ZWE","Zimbabwe","Zimbabwe",716,"🇿🇼","UN member","Zimbabwe","zimbabwe"
